,Ages,Gender,Income,Race,Government,County,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
137,17.0,1.0,2.0,7.0,1.0,2,1.0,14,156,7,1,14,360,,NaN,30,15
138,21.0,1.0,1.0,1.0,0.0,2,1.0,15,156,4,1,18,3,,NaN,0,0
139,42.5,1.0,4.0,1.0,0.0,2,1.0,17,104,8,1,12,0,,NaN,0,0
140,24.5,0.0,2.0,2.0,0.0,1,1.0,21,12,2,0,0,0,0.0,NaN,0,0
141,14.0,0.0,4.0,1.0,0.0,1,0.0,30,0,0,0,0,0,0.0,0,0,0
142,20.0,0.0,2.0,1.0,1.0,1,1.0,17,156,14,1,12,300,,NaN,30,12
143,22.5,0.0,1.0,1.0,0.0,3,1.0,14,15,2,0,0,0,0.0,NaN,0,0
144,32.5,0.0,2.0,2.0,1.0,3,1.0,12,12,4,1,27,0,,NaN,0,0
145,57.5,1.0,1.0,1.0,0.0,2,1.0,0,12,1,0,0,0,,NaN,0,0
146,27.5,0.0,2.0,7.0,0.0,1,1.0,0,4,1,1,22,0,0.0,NaN,0,0
147,16.0,0.0,3.0,1.0,1.0,3,0.0,21,0,0,0,0,0,0.0,0,0,0
148,42.5,1.0,2.0,1.0,0.0,1,0.0,17,0,0,0,0,0,,NaN,0,0
149,20.0,1.0,3.0,1.0,0.0,3,1.0,17,300,6,1,7,6,,NaN,7,15
150,15.0,1.0,1.0,7.0,1.0,2,0.0,16,0,0,0,0,0,0.0,0,0,0
151,15.0,1.0,1.0,7.0,1.0,1,0.0,17,0,0,0,0,0,0.0,25,0,0
152,57.5,0.0,3.0,1.0,0.0,2,1.0,14,260,NaN,1,30,3,,NaN,3,50
153,18.0,1.0,3.0,1.0,0.0,2,0.0,16,0,0,0,0,0,0.0,NaN,0,0
154,42.5,0.0,4.0,1.0,1.0,2,1.0,16,0,0,0,0,0,,NaN,0,15
155,18.0,0.0,2.0,2.0,1.0,1,0.0,0,0,0,0,0,0,0.0,NaN,0,0
156,13.0,1.0,2.0,7.0,1.0,1,0.0,19,0,0,0,0,0,0.0,0,0,0
157,22.5,0.0,2.0,1.0,0.0,1,1.0,21,104,1,1,18,1,,NaN,0,19
