,Ages,Gender,Income,Race,Government,County,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days
136,16.0,1.0,4.0,7.0,0.0,3,1.0,10,NaN,16,1,16,3
137,42.5,0.0,3.0,1.0,0.0,2,1.0,14,0,0,1,20,0
138,12.0,1.0,4.0,1.0,0.0,2,0.0,15,0,0,0,0,0
139,19.0,1.0,1.0,2.0,1.0,2,1.0,17,84,1,0,0,0
140,15.0,1.0,1.0,7.0,1.0,1,1.0,21,0,0,1,11,132
141,17.0,1.0,1.0,1.0,1.0,1,0.0,30,0,0,1,15,0
142,16.0,0.0,4.0,6.0,0.0,1,1.0,17,180,3,1,15,208
143,17.0,1.0,2.0,1.0,0.0,3,1.0,14,24,5,1,12,36
144,24.5,1.0,2.0,2.0,0.0,3,0.0,12,0,0,0,0,0
145,42.5,1.0,4.0,1.0,0.0,2,1.0,0,0,0,0,0,0
146,19.0,0.0,4.0,1.0,0.0,1,1.0,0,12,2,0,0,0
147,27.5,1.0,1.0,1.0,0.0,3,1.0,21,156,6,1,13,300
148,15.0,1.0,4.0,7.0,0.0,1,1.0,17,15,0,0,0,0
149,42.5,1.0,3.0,3.0,0.0,3,1.0,17,208,3,0,0,0
150,14.0,0.0,2.0,7.0,0.0,2,0.0,16,0,0,0,0,0
151,17.0,1.0,4.0,1.0,0.0,1,1.0,17,12,0,1,13,10
152,42.5,0.0,2.0,7.0,0.0,2,1.0,14,0,0,0,0,0
153,32.5,0.0,2.0,2.0,0.0,2,0.0,16,0,0,0,0,0
154,15.0,1.0,2.0,7.0,1.0,2,0.0,16,0,0,0,0,0
155,70.0,1.0,1.0,2.0,0.0,1,1.0,0,24,1,0,0,0
156,42.5,0.0,4.0,1.0,0.0,1,1.0,19,0,0,1,21,0
157,21.0,0.0,2.0,2.0,1.0,1,0.0,21,0,0,0,0,0
158,42.5,0.0,3.0,2.0,0.0,1,1.0,0,52,0,0,0,0
159,24.5,1.0,4.0,1.0,0.0,1,1.0,16,1,0,1,23,60
160,21.0,1.0,2.0,7.0,0.0,2,1.0,18,48,4,1,20,0
161,42.5,0.0,4.0,1.0,0.0,3,1.0,12,6,2,0,0,0
162,57.5,1.0,4.0,7.0,0.0,2,1.0,0,0,0,0,0,0
163,16.0,0.0,2.0,7.0,0.0,3,1.0,16,24,0,1,13,104
164,42.5,1.0,4.0,1.0,0.0,2,1.0,18,104,1,0,0,0
165,15.0,1.0,4.0,1.0,0.0,2,0.0,15,0,0,0,0,0
166,16.0,0.0,2.0,2.0,0.0,1,0.0,16,0,0,0,0,0
167,13.0,0.0,3.0,6.0,0.0,3,0.0,0,0,0,0,0,0
168,21.0,0.0,3.0,1.0,0.0,3,1.0,15,72,1,1,14,364
169,24.5,0.0,3.0,5.0,0.0,2,1.0,16,48,3,0,0,0
170,19.0,0.0,2.0,1.0,0.0,2,1.0,20,1,0,0,0,0
171,32.5,0.0,4.0,6.0,0.0,3,1.0,16,84,2,0,0,0
172,20.0,0.0,1.0,1.0,0.0,3,0.0,0,0,0,0,0,0
173,32.5,1.0,4.0,5.0,0.0,2,1.0,0,12,3,0,0,0
174,20.0,1.0,1.0,1.0,0.0,1,1.0,14,Not sure,Not sure,1,Not sure,363
175,15.0,0.0,1.0,3.0,0.0,3,1.0,0,144,5,1,12,350
176,42.5,1.0,2.0,7.0,0.0,1,1.0,21,180,2,1,9,364
177,42.5,0.0,3.0,1.0,0.0,1,1.0,15,12,0,1,17,0
178,70.0,0.0,2.0,1.0,0.0,2,1.0,15,24,2,1,19,12
179,57.5,1.0,2.0,1.0,0.0,1,1.0,0,350,1,1,14,0
180,12.0,0.0,3.0,1.0,0.0,1,0.0,16,0,0,0,0,0
181,32.5,1.0,3.0,5.0,0.0,2,1.0,0,24,0,1,15,0
182,18.0,1.0,2.0,1.0,0.0,1,0.0,0,0,0,1,18,5
183,12.0,1.0,2.0,6.0,1.0,1,0.0,21,0,0,0,0,0
184,17.0,1.0,2.0,2.0,1.0,1,0.0,18,0,0,0,0,0
185,27.5,1.0,1.0,2.0,1.0,2,1.0,0,104,0,1,15,0
186,27.5,1.0,3.0,1.0,0.0,1,1.0,21,4,2,0,0,0
187,24.5,0.0,1.0,2.0,1.0,1,1.0,0,12,0,0,0,0
188,27.5,1.0,2.0,5.0,0.0,3,1.0,25,36,1,0,0,0
189,22.5,0.0,1.0,7.0,0.0,2,1.0,21,36,4,0,0,0
190,20.0,0.0,1.0,7.0,1.0,2,1.0,0,2,0,0,0,0
191,70.0,1.0,2.0,1.0,0.0,2,1.0,0,48,1,0,0,0
192,15.0,1.0,4.0,7.0,0.0,1,1.0,21,0,0,0,0,0
193,15.0,0.0,4.0,1.0,0.0,1,1.0,15,0,0,0,0,0
194,42.5,1.0,4.0,1.0,0.0,1,1.0,0,24,1,0,0,0
195,42.5,1.0,4.0,1.0,0.0,1,1.0,10,156,3,1,34,0
196,27.5,1.0,2.0,1.0,0.0,1,1.0,0,72,5,1,17,0
197,15.0,1.0,1.0,1.0,1.0,1,0.0,0,0,0,0,0,0
198,24.5,1.0,3.0,7.0,1.0,3,1.0,0,12,0,0,0,0
199,20.0,0.0,4.0,1.0,0.0,1,1.0,16,52,4,0,0,0
200,42.5,0.0,3.0,1.0,0.0,3,1.0,17,104,1,1,16,0
201,24.5,1.0,2.0,1.0,0.0,3,1.0,16,15,4,1,15,0
202,32.5,0.0,4.0,1.0,0.0,2,1.0,15,36,1,1,18,0
203,57.5,0.0,2.0,2.0,0.0,1,1.0,0,0,0,1,27,0
204,13.0,1.0,4.0,1.0,0.0,1,0.0,17,0,0,0,0,0
205,22.5,1.0,2.0,2.0,0.0,2,1.0,11,104,0,1,19,156
206,24.5,0.0,1.0,1.0,1.0,2,1.0,18,2,0,0,0,0
207,27.5,1.0,3.0,1.0,0.0,2,1.0,0,260,6,1,16,25
208,13.0,0.0,3.0,7.0,0.0,1,0.0,0,0,0,0,0,0
209,22.5,1.0,1.0,2.0,0.0,3,1.0,25,24,2,0,0,0
210,32.5,0.0,4.0,1.0,0.0,1,1.0,13,72,2,0,0,0
211,18.0,1.0,2.0,7.0,0.0,3,0.0,17,0,0,1,16,0
212,24.5,1.0,2.0,7.0,0.0,1,1.0,0,24,12,1,16,1
213,24.5,1.0,2.0,7.0,0.0,1,1.0,13,48,2,0,0,0
214,16.0,1.0,2.0,1.0,0.0,1,1.0,13,3,5,1,15,46
215,27.5,1.0,4.0,2.0,0.0,2,0.0,16,0,0,0,0,0
216,13.0,0.0,1.0,7.0,1.0,3,0.0,0,0,0,0,0,0
217,70.0,1.0,4.0,1.0,0.0,3,1.0,19,364,6,1,21,0
218,22.5,0.0,4.0,1.0,0.0,1,1.0,18,156,4,1,20,1
219,12.0,1.0,1.0,2.0,1.0,1,0.0,15,0,0,0,0,0
220,42.5,1.0,2.0,7.0,0.0,2,1.0,18,0,0,0,0,0
221,14.0,0.0,2.0,1.0,1.0,2,1.0,12,2,NaN,0,0,0
222,24.5,1.0,4.0,1.0,0.0,3,1.0,16,48,6,1,13,0
223,27.5,0.0,4.0,5.0,0.0,1,1.0,10,24,NaN,1,18,0
224,24.5,1.0,2.0,1.0,0.0,2,1.0,16,52,2,0,0,0
225,14.0,1.0,2.0,7.0,0.0,2,0.0,9,0,0,0,0,0
226,42.5,1.0,4.0,1.0,0.0,1,1.0,0,104,2,1,18,0
227,22.5,1.0,4.0,2.0,0.0,2,1.0,12,12,NaN,1,18,52
228,57.5,1.0,4.0,1.0,0.0,1,1.0,15,84,1,1,21,0
229,42.5,0.0,2.0,1.0,1.0,1,0.0,17,0,0,0,0,0
230,57.5,1.0,1.0,1.0,0.0,1,1.0,0,96,4,1,15,312
231,42.5,1.0,4.0,1.0,0.0,2,1.0,0,156,1,1,19,0
232,32.5,0.0,4.0,1.0,0.0,1,1.0,16,5,0,0,0,0
233,24.5,1.0,4.0,1.0,0.0,2,1.0,12,12,0,1,15,260
234,42.5,1.0,2.0,7.0,0.0,3,1.0,17,36,3,1,18,36
235,27.5,1.0,2.0,7.0,0.0,2,1.0,18,30,1,1,13,0
236,42.5,1.0,3.0,1.0,0.0,1,1.0,0,0,0,1,15,0
237,27.5,1.0,2.0,3.0,0.0,1,1.0,0,60,5,1,15,0
238,16.0,0.0,4.0,1.0,0.0,2,1.0,21,0,0,1,14,52
239,12.0,1.0,2.0,1.0,0.0,1,0.0,NaN,0,0,0,0,0
240,22.5,0.0,1.0,2.0,1.0,3,1.0,21,7,NaN,1,18,0
241,16.0,1.0,4.0,1.0,0.0,1,1.0,17,4,0,1,15,12
242,42.5,0.0,4.0,1.0,0.0,2,1.0,14,24,4,0,0,0
243,32.5,0.0,4.0,1.0,0.0,2,1.0,18,72,2,1,13,0
244,27.5,0.0,4.0,7.0,0.0,2,1.0,18,24,10,1,16,156
245,57.5,1.0,1.0,6.0,1.0,2,0.0,18,0,0,1,15,0
246,27.5,0.0,3.0,1.0,0.0,1,1.0,14,52,NaN,0,0,0
247,18.0,0.0,2.0,2.0,1.0,2,1.0,27,2,1,1,16,3
248,42.5,1.0,4.0,1.0,0.0,2,1.0,18,36,2,1,15,0
249,19.0,0.0,1.0,1.0,0.0,3,1.0,0,0,0,1,17,0
250,24.5,0.0,2.0,7.0,0.0,1,0.0,18,0,0,0,0,0
251,32.5,0.0,1.0,1.0,1.0,1,1.0,0,4,0,1,16,0
252,57.5,0.0,4.0,1.0,0.0,2,1.0,16,208,1,0,0,0
253,70.0,1.0,4.0,1.0,0.0,2,1.0,16,104,1,0,0,0
254,12.0,0.0,1.0,1.0,1.0,2,0.0,15,0,0,0,0,0
255,24.5,1.0,4.0,2.0,0.0,1,1.0,17,12,0,1,17,0
256,32.5,0.0,1.0,1.0,1.0,3,1.0,16,260,1,0,0,0
