,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
139,27.5,0,1,1,1,2,3,1,17,NaN,NaN,0,0,0,0,0,,NaN,30,17
140,57.5,0,4,1,0,1,1,1,21,144,1,0,0,0,0,0,0.0,NaN,0,0
141,42.5,0,3,7,0,1,1,1,30,12,0,0,0,0,0,0,0.0,NaN,0,0
142,42.5,0,1,7,1,1,4,1,17,0,0,1,20,52,0,0,,NaN,30,18
143,17.0,0,1,1,0,3,99,1,14,60,1,0,0,0,0,0,,NaN,0,0
144,32.5,0,4,1,0,3,1,1,12,3,0,1,17,0,0,0,,NaN,0,17
145,16.0,0,4,1,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
146,18.0,0,1,7,1,1,4,0,0,0,0,1,16,0,0,0,0.0,NaN,0,0
147,24.5,0,2,1,0,3,1,1,21,5,0,0,0,0,0,0,0.0,NaN,0,0
148,57.5,0,4,1,0,1,4,1,17,104,1,0,0,0,0,0,,NaN,0,0
149,42.5,0,2,1,0,3,1,1,17,3,0,0,0,0,0,0,0.0,NaN,0,0
150,32.5,0,3,6,0,2,4,1,16,168,3,1,13,0,1,0,,NaN,0,16
151,57.5,0,1,1,1,1,4,1,17,9,0,1,17,104,1,0,,NaN,30,15
152,15.0,0,4,1,0,2,99,1,14,2,0,0,0,0,0,0,0.0,25,0,0
153,42.5,1,4,1,0,2,2,1,16,48,NaN,1,21,104,0,0,,NaN,30,18
154,57.5,1,2,1,0,2,1,1,16,0,0,1,20,0,0,0,,NaN,30,12
155,18.0,1,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
156,42.5,1,2,7,0,1,1,1,19,0,0,0,0,0,0,0,0.0,NaN,0,0
157,27.5,0,2,7,0,1,1,1,21,36,0,0,0,0,0,0,,NaN,0,0
158,42.5,0,3,7,0,1,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
159,42.5,0,4,1,0,1,1,1,16,339,3,1,21,1,0,0,,NaN,15,36
160,70.0,0,4,1,0,2,1,1,18,208,2,1,20,0,0,0,0.0,NaN,0,0
161,42.5,0,2,1,0,3,1,1,12,52,1,0,0,0,0,0,,NaN,0,18
162,14.0,0,4,1,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
163,27.5,0,1,3,1,3,2,1,16,0,0,1,16,210,0,0,,NaN,30,16
