,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month
154,42.5,1,2,1,0,2.0,1,1,16,312,0,1,16,0,0,0
155,22.5,0,1,7,0,1.0,1,0,0,0,0,0,0,0,0,0
156,22.5,0,4,2,0,1.0,1,1,19,4,0,0,0,0,0,0
157,17.0,0,1,7,0,1.0,99,1,21,24,0,1,15,60,0,0
158,70.0,1,3,1,0,1.0,2,1,0,52,1,0,0,0,0,0
159,24.5,0,2,1,0,1.0,1,1,16,0,0,0,0,0,0,0
160,24.5,1,2,7,0,2.0,1,1,18,52,1,1,14,0,0,0
161,20.0,1,4,1,0,3.0,3,1,12,40,0,1,13,0,1,0
162,19.0,1,3,1,0,2.0,1,0,0,0,0,0,0,0,0,0
163,57.5,0,2,1,0,3.0,4,0,16,0,0,0,0,0,0,0
164,22.5,0,1,1,0,2.0,2,1,18,48,7,1,18,364,0,0
165,14.0,0,4,1,0,2.0,99,1,15,2,1,0,0,0,0,0
166,17.0,1,4,1,0,1.0,99,1,16,84,3,1,14,260,0,0
167,12.0,0,4,7,0,3.0,99,0,0,0,0,0,0,0,0,0
168,32.5,1,3,5,0,3.0,1,1,15,0,0,0,0,0,0,0
169,32.5,1,4,1,0,2.0,1,1,16,60,1,1,16,0,0,0
170,70.0,1,3,1,0,2.0,4,1,20,0,0,0,0,0,0,0
171,18.0,0,3,1,0,3.0,1,1,16,51,0,1,18,6,0,0
172,24.5,0,3,7,0,3.0,1,1,0,0,0,0,0,0,0,0
173,70.0,0,3,7,0,2.0,4,1,0,0,0,0,0,0,0,0
174,14.0,1,2,1,1,1.0,99,0,14,0,0,0,0,0,0,0
175,57.5,1,3,1,0,3.0,1,1,0,104,3,1,17,0,0,0
176,12.0,1,2,2,1,1.0,99,0,21,0,0,0,0,0,0,0
177,42.5,1,3,2,0,1.0,1,1,15,60,3,1,7,0,0,0
178,22.5,0,2,1,0,2.0,4,1,15,353,6,0,0,0,1,0
179,42.5,1,4,7,0,1.0,1,1,0,20,7,1,18,0,0,0
180,14.0,1,4,1,0,1.0,99,0,16,0,0,0,0,0,NaN,0
181,14.0,0,4,1,0,2.0,99,0,0,0,0,0,0,0,0,0
182,24.5,1,2,1,0,1.0,1,1,0,260,2,1,14,60,1,0
183,57.5,1,4,1,0,1.0,4,1,21,312,1,1,19,0,0,0
184,14.0,0,2,1,0,1.0,99,0,18,0,0,0,0,0,0,0
185,42.5,0,1,1,0,2.0,1,0,0,0,0,0,0,0,0,0
186,32.5,1,4,7,0,1.0,1,1,21,52,3,0,0,0,0,0
187,14.0,0,2,7,0,1.0,99,0,0,0,0,0,0,0,0,0
188,24.5,0,2,1,0,3.0,1,1,25,36,5,0,0,0,0,0
189,13.0,1,3,1,0,2.0,99,0,21,0,0,0,0,0,0,0
190,42.5,0,4,1,0,2.0,1,1,0,5,1,1,18,0,0,0
191,27.5,0,1,1,1,2.0,2,1,0,12,2,1,16,365,0,0
192,42.5,0,3,1,0,1.0,1,1,21,48,2,0,0,0,0,0
193,42.5,1,4,1,0,1.0,1,1,15,5,1,1,15,0,0,0
194,42.5,1,4,5,0,1.0,1,1,0,1,0,0,0,0,0,0
195,42.5,0,4,1,0,1.0,1,1,10,12,1,1,16,0,0,0
196,57.5,1,3,1,1,1.0,4,1,0,48,NaN,1,13,365,1,0
197,42.5,1,3,1,0,1.0,1,1,0,12,0,0,0,0,0,0
198,42.5,0,4,1,0,3.0,1,1,0,24,2,1,18,0,0,0
199,42.5,1,2,7,0,1.0,1,1,16,144,2,1,12,12,0,0
200,42.5,0,1,2,1,3.0,4,1,17,3,1,0,0,0,0,0
201,19.0,1,4,1,0,3.0,4,0,16,0,0,0,0,0,0,0
202,15.0,0,3,7,0,2.0,99,0,15,0,0,0,0,0,0,0
203,13.0,1,2,2,0,1.0,99,0,0,0,0,0,0,0,0,0
204,15.0,1,4,7,0,1.0,99,0,17,0,0,0,0,0,0,0
